DS name,Description,Render,Type,Tool,Path,Attribute,ColorClass1,ColorClass2,ColorClass3,ColorClass4,ColorClass5,ColorClass6,ColorClass7,ColorClass8
totalnitroFyield,Total Nitrogen Yield (lbs/ac) - Future Land Use [vector],class,Vector,Baseline Conditions,WIPOutput.mdb,Ratio,233 255 190 0,170 255 0 2.2,112 168 0 3.6,38 115 0 6,255 255 0 10,230 152 0 100,168 0 0 1000,156 1 56 5000
totalphospEyield,Total Phosphorus Yield (lbs/ac) - Existing Land Use [vector],class,Vector,Baseline Conditions,WIPOutput.mdb,Ratio,255 214 232 0.4,232 171 255 0.72,194 176 207 0.82,112 68 137 1.43,255 255 0 2,230 152 0 5,168 0 0 100,145 57 144 200
totalphospFyield,Total Phosphorus Yield (lbs/ac) - Future Land Use [vector],class,Vector,Baseline Conditions,WIPOutput.mdb,Ratio,255 214 232 0.4,232 171 255 0.72,194 176 207 0.82,112 68 137 1.43,255 255 0 2,230 152 0 5,168 0 0 100,145 57 144 200
UndevQ,Undeveloped 1-yr discharge (cfs),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 255 200 0,29 64 18 0,,,,,,
urban25yrQ,Urban 25-yr Discharge (cfs),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 255 200 0,0 0 240 0,,,,,,
urban2yrQ,Urban 2-yr Discharge (cfs),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 255 200 0,0 0 240 0,,,,,,
urbanqcpcip,CIP Urban 1-yr Discharge (cfs),stretch,Raster,CIP Selection,CIP*.mdb,,255 255 200 0,0 0 240 0,,,,,,
urbrurratio,Existing Urban/Rural Discharge Ratio,class,Raster,Production Rate Setup,WIPOutput.mdb,,211 255 190 1.1,255 255 115 1.25,255 211 127 1.5,255 190 190 3,0 0 0 5,,,
urratiovec,Existing Urban/Rural Discharge Ratio [vector],class,Vector,Production Rate Setup,WIPOutput.mdb,Ratio,0 192 0 1.1,255 255 0 1.25,255 127 0 1.5,255 0 0 3,0 0 0 5,,,
V10Flood,10-yr Flood Volume (cf),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 200 255 0,0 0 240 0,,,,,,
V25Flood,25-yr Flood Volume (cf),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 200 255 0,0 0 240 0,,,,,,
WQV,Water Quality Volume (cf),stretch,Raster,Runoff Volumes and Discharges,WIPOutput.mdb,,255 200 255 0,0 0 240 0,,,,,,
yefecalcolif,Fecal Coliform Yield (cfu*10^9/ac) - Existing Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 255 190 0,215 215 198 2,205 205 102 4.1,115 115 0 8.2,255 255 0 10.2,230 152 0 20.4,168 0 0 100,31 83 110 500
yesediment,Sediment Yield (lbs/ac) - Existing Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 237 222 0,215 215 158 400,212 196 153 800,122 105 84 1200,255 255 0 1600,230 152 0 2000,168 0 0 5000,167 0 31 10000
yetotalnitro,Total Nitrogen Yield (lbs/ac) - Existing Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,233 255 190 0,170 255 0 2.2,112 168 0 3.6,38 115 0 6,255 255 0 10,230 152 0 100,168 0 0 1000,156 1 56 5000
yetotalphosp,Total Phosphorus Yield (lbs/ac) - Existing Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 214 232 0.4,232 171 255 0.72,194 176 207 0.82,112 68 137 1.43,255 255 0 2,230 152 0 5,168 0 0 100,145 57 144 200
yffecalcolif,Fecal Coliform Yield (cfu*10^9/ac) - Future Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 255 190 0,215 215 198 2,205 205 102 4.1,115 115 0 8.2,255 255 0 10.2,230 152 0 20.4,168 0 0 100,31 83 110 500
yfsediment,Sediment Yield (lbs/ac) - Future Land Use,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 237 222 0,215 215 158 400,212 196 153 800,122 105 84 1200,255 255 0 1600,230 152 0 2000,168 0 0 5000,167 0 31 10000
yftotalnitro,Total Nitrogen Yield (lbs/ac) - Future Land Use ,class,Raster,Baseline Conditions,WIPOutput.mdb,,233 255 190 0,170 255 0 2.2,112 168 0 3.6,38 115 0 6,255 255 0 10,230 152 0 100,168 0 0 1000,156 1 56 5000
yftotalphosp,Total Phosphorus Yield (lbs/ac) - Future Land Use ,class,Raster,Baseline Conditions,WIPOutput.mdb,,255 214 232 0.4,232 171 255 0.72,194 176 207 0.82,112 68 137 1.43,255 255 0 2,230 152 0 5,168 0 0 100,145 57 144 200
